Input file size: 27196 bytes
Format verson: 0
Number of descriptors: 1272

42C2C 4*
13A2A-66B2-48C2 8 
13A2-66B2A-48C2 8 
13A2A-66C2-48C2 10 
13A2-66C2A-48C2 10 
13A2A-66A2-48D2 10 
13A2-66A2A-48D2 10 
13A2A-48E2 10 
1A2A-3A2-19A2-42C2 10 
1A2-3A2A-19A2-42C2 10 
1A2-3A2-19A2A-42C2 10 
1A2A-3A2-7C2-28A2 10 
1A2-3A2A-7C2-28A2 10 
1A2-3A2-7C2A-28A2 10 
1A2-3A2-7C2-28A2A 10 
1A2A-3C2-40C2 10 
1A2-3C2A-40C2 10 
1A2A-3C2-7C2 10 
1A2-3C2A-7C2 10 
1A2-3C2-7C2A 10 
1A2A-41C2-42C2 10 
1A2A-5A2-46D2 10 
1A2-5A2A-46D2 10 
1A2A-7A2-46D2 10 
1A2-7A2A-46D2 10 
28A2A-41C2-42C2 10 
2A2A-13A2-46D2 10 
2A2-13A2A-46D2 10 
2A2A-13A2-66A2-66B2 8 
2A2-13A2A-66A2-66B2 8 
2A2-13A2-66A2A-66B2 8 
2A2A-13A2-66A2-66C2 10 
2A2-13A2A-66A2-66C2 10 
2A2-13A2-66A2A-66C2 10 
2A2A-13A2-66D2 10 
2A2-13A2A-66D2 10 
2A2-13A2-66D2A 10 
2A2A-2A2-12B2-66A2 8 
2A2-2A2-12B2A-66A2 8 
2A2-2A2-12B2-66A2A 8 
2A2A-2A2-46D2 10 
2A2A-2A2-5A2-66B2 8 
2A2-2A2-5A2A-66B2 8 
2A2-2A2-5A2-66B2A 8 
2A2A-2A2-5A2-66C2 10 
2A2-2A2-5A2A-66C2 10 
2A2-2A2-5A2-66C2A 10 
2A2A-2A2-66A2-66B2 8 
2A2-2A2-66A2A-66B2 8 
2A2A-2A2-66A2-66C2 10 
2A2-2A2-66A2A-66C2 10 
2A2A-66A2-46A2-46C2 10 
2A2-66A2A-46A2-46C2 10 
2A2A-66A2-46D2 10 
2A2-66A2A-46D2 10 
2A2A-66A2-48A2-48C2 10 
2A2-66A2A-48A2-48C2 10 
2A2A-66A2-48D2 10 
2A2-66A2A-48D2 10 
2A2A-48E2 10 
2A2A-5A2-46D2 10 
2A2-5A2A-46D2 10 
2A2A-5B2-30A2-66A2 8 
2A2-5B2A-30A2-66A2 8 
2A2-5B2-30A2A-66A2 8 
2A2-5B2-30A2-66A2A 8 
2A2A-5B2-66A2-66A2 8 
